input_file,base_file,temp,shifts,time_step,mineral,multiplier
job085_Diopside_100.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Diopside,100
job086_Olivine_0.01.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Olivine,0.01
job087_Olivine_0.1.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Olivine,0.1
job088_Olivine_1.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Olivine,1
job089_Olivine_10.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Olivine,10
job090_Olivine_100.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Olivine,100
job091_Alkali-feldspar_0.01.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Alkali-feldspar,0.01
job092_Alkali-feldspar_0.1.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Alkali-feldspar,0.1
job093_Alkali-feldspar_1.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Alkali-feldspar,1
job094_Alkali-feldspar_10.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Alkali-feldspar,10
job095_Alkali-feldspar_100.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Alkali-feldspar,100
job096_Montmorillonite_0.01.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Montmorillonite,0.01
job097_Montmorillonite_0.1.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Montmorillonite,0.1
job098_Montmorillonite_1.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Montmorillonite,1
job099_Montmorillonite_10.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Montmorillonite,10
job100_Montmorillonite_100.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Montmorillonite,100
job101_Ilmenite_0.01.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Ilmenite,0.01
job102_Ilmenite_0.1.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Ilmenite,0.1
job103_Ilmenite_1.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Ilmenite,1
job104_Ilmenite_10.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Ilmenite,10
job105_Ilmenite_100.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Ilmenite,100
job106_Glass_0.01.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Glass,0.01
job107_Glass_0.1.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Glass,0.1
